YEAR,ORI,AGENCY NAME,POPULATION,NUMBER OF MONTHS REPROTED,TOTAL COMMERCIAL SEX ACTS,TOTAL COMMERCIAL SEX ACTS CLEARED,TOTAL COMMERCIAL SEX ACTS JUVENILE CLEARED,TOTAL INVOLUNTARY SERVITUDE,TOTAL INVOLUNTARY SERVITUDE CLEARED,TOTAL INVOLUNTARY SERVITUDE JUVENILE CLEARED
2013,MS06202,MORTON,"3,439",1,0,0,0,0,0,0
2013,MS06401,MAGEE,"4,401",7,0,0,0,0,0,0
2013,MS06600,STONE,"13,550",12,0,0,0,0,0,0
2013,MS06601,WIGGINS,"4,535",3,0,0,0,0,0,0
2013,MS06701,INDIANOLA,"10,443",5,0,0,0,0,0,0
2013,MS07000,TIPPAH,"16,639",3,0,0,0,0,0,0
2013,MS07100,TISHOMINGO,"16,582",6,0,0,0,0,0,0
2013,MS07101,IUKA,"3,015",6,0,0,0,0,0,0
2013,MS07200,TUNICA,"10,390",5,0,0,0,0,0,0
2013,MS07500,WARREN,"24,547",3,0,0,0,0,0,0
2013,MS07501,VICKSBURG,"23,318",6,0,0,0,0,0,0
2013,MS07600,WASHINGTON,"9,270",8,0,0,0,0,0,0
2013,MS07602,LELAND,"4,320",2,0,0,0,0,0,0
2013,MS07801,EUPORA,"2,124",4,0,0,0,0,0,0
2013,MS08000,WINSTON,"12,486",4,0,0,0,0,0,0
2013,MS08001,LOUISVILLE,"6,500",3,0,0,0,0,0,0
2013,MS08201,YAZOO CITY,"11,570",1,0,0,0,0,0,0
2013,MOMHPAA,ST HWY PTRL:LEE'S SUMMIT,0,12,0,0,0,0,0,0
2013,MOMHPBB,ST HWY PTRL: MACON,0,12,0,0,0,0,0,0
2013,MOMHPCC,ST HWY PTRL: KIRKWOOD,0,12,0,0,0,0,0,0
2013,MOMHPDD,ST HWY PTRL: SPRINGFIELD,0,12,0,0,0,0,0,0
2013,MOMHPEE,ST HWY PTRL:POPLAR BLUFF,0,12,0,0,0,0,0,0
2013,MOMHPFF,ST HWY PTRL:JEFFERSON CI,0,12,0,0,0,0,0,0
2013,MOMHPGG,ST HWY PTRL:WILLOW SPRGS,0,12,0,0,0,0,0,0
2013,MOMHPHH,ST HWY PTRL: ST. JOSEPH,0,12,0,0,0,0,0,0
2013,MOMHPII,ST HWY PTRL: ROLLA,0,12,0,0,0,0,0,0
2013,MOMHP07,GAMING COMMISSION ENF D,0,12,0,0,0,0,0,0
2013,MOSPD00,ST. LOUIS,"318,563",12,0,0,0,0,0,0
2013,MO00100,ADAIR,"8,103",5,0,0,0,0,0,0
2013,MO00101,KIRKSVILLE,"17,529",5,0,0,0,0,0,0
2013,MO00106,TRUMAN STATE UNIVERSITY,0,6,0,0,0,0,0,0
2013,MO00200,ANDREW,"9,885",5,0,0,0,0,0,0
2013,MO00201,SAVANNAH,"5,113",6,0,0,0,0,0,0
2013,MO00205,COUNTRY CLUB VILLAGE,"2,477",5,0,0,0,0,0,0
2013,MO00300,ATCHISON,"2,694",6,0,0,0,0,0,0
2013,MO00302,ROCK PORT,"1,271",5,0,0,0,0,0,0
2013,MO00303,TARKIO,"1,522",6,0,0,0,0,0,0
2013,MO00400,AUDRAIN,"9,481",5,0,0,0,0,0,0
2013,MO00401,FARBER,318,7,0,0,0,0,0,0
2013,MO00403,MARTINSBURG,306,5,0,0,0,0,0,0
2013,MO00404,MEXICO,"11,564",6,0,0,0,0,0,0
2013,MO00405,VANDALIA,"4,060",6,0,0,0,0,0,0
2013,MO00500,BARRY,"22,228",6,0,0,0,0,0,0
2013,MO00501,CASSVILLE,"3,255",5,0,0,0,0,0,0
2013,MO00502,MONETT,"8,927",8,0,0,0,0,0,0
2013,MO00503,EXETER,767,5,0,0,0,0,0,0
2013,MO00504,PURDY,"1,092",7,0,0,0,0,0,0
2013,MO00505,SELIGMAN,840,5,0,0,0,0,0,0
2013,MO00507,WASHBURN,433,5,0,0,0,0,0,0
2013,MO00508,WHEATON,693,5,0,0,0,0,0,0
2013,MO00510,BUTTERFIELD VILLAGE,464,5,0,0,0,0,0,0
2013,MO00600,BARTON,"7,089",9,0,0,0,0,0,0
